# 混淆映射表：可疑码位 -> 它看起来像的字符。TSV，四列，UTF-8、LF。
# 列：可疑码位	目标码位	规则 ID	说明
# 空行与 # 开头的行跳过；同一可疑码位只能出现一次。
U+5226	U+0073	synthetic.bulk	压测条目
U+5227	U+0074	synthetic.bulk	压测条目
U+5228	U+0075	synthetic.bulk	压测条目
U+5229	U+0076	synthetic.bulk	压测条目
U+522A	U+0077	synthetic.bulk	压测条目
U+522B	U+0078	synthetic.bulk	压测条目
U+522C	U+0079	synthetic.bulk	压测条目
U+522D	U+007A	synthetic.bulk	压测条目
U+522E	U+0030	synthetic.bulk	压测条目
U+522F	U+0031	synthetic.bulk	压测条目
U+5230	U+0032	synthetic.bulk	压测条目
U+5231	U+0033	synthetic.bulk	压测条目
U+5232	U+0034	synthetic.bulk	压测条目
U+5233	U+0035	synthetic.bulk	压测条目
U+5234	U+0036	synthetic.bulk	压测条目
U+5235	U+0037	synthetic.bulk	压测条目
U+5236	U+0038	synthetic.bulk	压测条目
U+5237	U+0039	synthetic.bulk	压测条目
U+5238	U+0061	synthetic.bulk	压测条目
U+5239	U+0062	synthetic.bulk	压测条目
U+523A	U+0063	synthetic.bulk	压测条目
U+523B	U+0064	synthetic.bulk	压测条目
U+523C	U+0065	synthetic.bulk	压测条目
U+523D	U+0066	synthetic.bulk	压测条目
U+523E	U+0067	synthetic.bulk	压测条目
U+523F	U+0068	synthetic.bulk	压测条目
U+5240	U+0069	synthetic.bulk	压测条目
U+5241	U+006A	synthetic.bulk	压测条目
U+5242	U+006B	synthetic.bulk	压测条目
U+5243	U+006C	synthetic.bulk	压测条目
U+5244	U+006D	synthetic.bulk	压测条目
U+5245	U+006E	synthetic.bulk	压测条目
U+5246	U+006F	synthetic.bulk	压测条目
U+5247	U+0070	synthetic.bulk	压测条目
U+5248	U+0071	synthetic.bulk	压测条目
U+5249	U+0072	synthetic.bulk	压测条目
U+524A	U+0073	synthetic.bulk	压测条目
U+524B	U+0074	synthetic.bulk	压测条目
U+524C	U+0075	synthetic.bulk	压测条目
U+524D	U+0076	synthetic.bulk	压测条目
U+524E	U+0077	synthetic.bulk	压测条目
U+524F	U+0078	synthetic.bulk	压测条目
U+5250	U+0079	synthetic.bulk	压测条目
U+5251	U+007A	synthetic.bulk	压测条目
U+5252	U+0030	synthetic.bulk	压测条目
U+5253	U+0031	synthetic.bulk	压测条目
U+5254	U+0032	synthetic.bulk	压测条目
U+5255	U+0033	synthetic.bulk	压测条目
U+5256	U+0034	synthetic.bulk	压测条目
U+5257	U+0035	synthetic.bulk	压测条目
U+5258	U+0036	synthetic.bulk	压测条目
U+5259	U+0037	synthetic.bulk	压测条目
U+525A	U+0038	synthetic.bulk	压测条目
U+525B	U+0039	synthetic.bulk	压测条目
U+525C	U+0061	synthetic.bulk	压测条目
U+525D	U+0062	synthetic.bulk	压测条目
U+525E	U+0063	synthetic.bulk	压测条目
U+525F	U+0064	synthetic.bulk	压测条目
U+5260	U+0065	synthetic.bulk	压测条目
U+5261	U+0066	synthetic.bulk	压测条目
U+5262	U+0067	synthetic.bulk	压测条目
U+5263	U+0068	synthetic.bulk	压测条目
U+5264	U+0069	synthetic.bulk	压测条目
U+5265	U+006A	synthetic.bulk	压测条目
U+5266	U+006B	synthetic.bulk	压测条目
U+5267	U+006C	synthetic.bulk	压测条目
U+5268	U+006D	synthetic.bulk	压测条目
U+5269	U+006E	synthetic.bulk	压测条目
U+526A	U+006F	synthetic.bulk	压测条目
U+526B	U+0070	synthetic.bulk	压测条目
U+526C	U+0071	synthetic.bulk	压测条目
U+526D	U+0072	synthetic.bulk	压测条目
U+526E	U+0073	synthetic.bulk	压测条目
U+526F	U+0074	synthetic.bulk	压测条目
U+5270	U+0075	synthetic.bulk	压测条目
U+5271	U+0076	synthetic.bulk	压测条目
U+5272	U+0077	synthetic.bulk	压测条目
U+5273	U+0078	synthetic.bulk	压测条目
U+5274	U+0079	synthetic.bulk	压测条目
U+5275	U+007A	synthetic.bulk	压测条目
U+5276	U+0030	synthetic.bulk	压测条目
U+5277	U+0031	synthetic.bulk	压测条目
U+5278	U+0032	synthetic.bulk	压测条目
U+5279	U+0033	synthetic.bulk	压测条目
U+527A	U+0034	synthetic.bulk	压测条目
U+527B	U+0035	synthetic.bulk	压测条目
U+527C	U+0036	synthetic.bulk	压测条目
U+527D	U+0037	synthetic.bulk	压测条目
U+527E	U+0038	synthetic.bulk	压测条目
U+527F	U+0039	synthetic.bulk	压测条目
U+5280	U+0061	synthetic.bulk	压测条目
U+5281	U+0062	synthetic.bulk	压测条目
U+5282	U+0063	synthetic.bulk	压测条目
U+5283	U+0064	synthetic.bulk	压测条目
U+5284	U+0065	synthetic.bulk	压测条目
U+5285	U+0066	synthetic.bulk	压测条目
U+5286	U+0067	synthetic.bulk	压测条目
U+5287	U+0068	synthetic.bulk	压测条目
U+5288	U+0069	synthetic.bulk	压测条目
U+5289	U+006A	synthetic.bulk	压测条目
U+528A	U+006B	synthetic.bulk	压测条目
U+528B	U+006C	synthetic.bulk	压测条目
U+528C	U+006D	synthetic.bulk	压测条目
U+528D	U+006E	synthetic.bulk	压测条目
U+528E	U+006F	synthetic.bulk	压测条目
U+528F	U+0070	synthetic.bulk	压测条目
U+5290	U+0071	synthetic.bulk	压测条目
U+5291	U+0072	synthetic.bulk	压测条目
U+5292	U+0073	synthetic.bulk	压测条目
U+5293	U+0074	synthetic.bulk	压测条目
U+5294	U+0075	synthetic.bulk	压测条目
U+5295	U+0076	synthetic.bulk	压测条目
U+5296	U+0077	synthetic.bulk	压测条目
U+5297	U+0078	synthetic.bulk	压测条目
U+5298	U+0079	synthetic.bulk	压测条目
U+5299	U+007A	synthetic.bulk	压测条目
U+529A	U+0030	synthetic.bulk	压测条目
U+529B	U+0031	synthetic.bulk	压测条目
U+529C	U+0032	synthetic.bulk	压测条目
U+529D	U+0033	synthetic.bulk	压测条目
U+529E	U+0034	synthetic.bulk	压测条目
U+529F	U+0035	synthetic.bulk	压测条目
U+52A0	U+0036	synthetic.bulk	压测条目
U+52A1	U+0037	synthetic.bulk	压测条目
U+52A2	U+0038	synthetic.bulk	压测条目
U+52A3	U+0039	synthetic.bulk	压测条目
U+52A4	U+0061	synthetic.bulk	压测条目
U+52A5	U+0062	synthetic.bulk	压测条目
U+52A6	U+0063	synthetic.bulk	压测条目
U+52A7	U+0064	synthetic.bulk	压测条目
U+52A8	U+0065	synthetic.bulk	压测条目
U+52A9	U+0066	synthetic.bulk	压测条目
U+52AA	U+0067	synthetic.bulk	压测条目
U+52AB	U+0068	synthetic.bulk	压测条目
U+52AC	U+0069	synthetic.bulk	压测条目
U+52AD	U+006A	synthetic.bulk	压测条目
U+52AE	U+006B	synthetic.bulk	压测条目
U+52AF	U+006C	synthetic.bulk	压测条目
U+52B0	U+006D	synthetic.bulk	压测条目
U+52B1	U+006E	synthetic.bulk	压测条目
U+52B2	U+006F	synthetic.bulk	压测条目
U+52B3	U+0070	synthetic.bulk	压测条目
U+52B4	U+0071	synthetic.bulk	压测条目
U+52B5	U+0072	synthetic.bulk	压测条目
U+52B6	U+0073	synthetic.bulk	压测条目
U+52B7	U+0074	synthetic.bulk	压测条目
U+52B8	U+0075	synthetic.bulk	压测条目
U+52B9	U+0076	synthetic.bulk	压测条目
U+52BA	U+0077	synthetic.bulk	压测条目
U+52BB	U+0078	synthetic.bulk	压测条目
U+52BC	U+0079	synthetic.bulk	压测条目
U+52BD	U+007A	synthetic.bulk	压测条目
U+52BE	U+0030	synthetic.bulk	压测条目
U+52BF	U+0031	synthetic.bulk	压测条目
U+52C0	U+0032	synthetic.bulk	压测条目
U+52C1	U+0033	synthetic.bulk	压测条目
U+52C2	U+0034	synthetic.bulk	压测条目
U+52C3	U+0035	synthetic.bulk	压测条目
U+52C4	U+0036	synthetic.bulk	压测条目
U+52C5	U+0037	synthetic.bulk	压测条目
U+52C6	U+0038	synthetic.bulk	压测条目
U+52C7	U+0039	synthetic.bulk	压测条目
U+52C8	U+0061	synthetic.bulk	压测条目
U+52C9	U+0062	synthetic.bulk	压测条目
U+52CA	U+0063	synthetic.bulk	压测条目
U+52CB	U+0064	synthetic.bulk	压测条目
U+52CC	U+0065	synthetic.bulk	压测条目
U+52CD	U+0066	synthetic.bulk	压测条目
U+52CE	U+0067	synthetic.bulk	压测条目
U+52CF	U+0068	synthetic.bulk	压测条目
U+52D0	U+0069	synthetic.bulk	压测条目
U+52D1	U+006A	synthetic.bulk	压测条目
U+52D2	U+006B	synthetic.bulk	压测条目
U+52D3	U+006C	synthetic.bulk	压测条目
U+52D4	U+006D	synthetic.bulk	压测条目
U+52D5	U+006E	synthetic.bulk	压测条目
U+52D6	U+006F	synthetic.bulk	压测条目
U+52D7	U+0070	synthetic.bulk	压测条目
U+52D8	U+0071	synthetic.bulk	压测条目
U+52D9	U+0072	synthetic.bulk	压测条目
U+52DA	U+0073	synthetic.bulk	压测条目
U+52DB	U+0074	synthetic.bulk	压测条目
U+52DC	U+0075	synthetic.bulk	压测条目
U+52DD	U+0076	synthetic.bulk	压测条目
U+52DE	U+0077	synthetic.bulk	压测条目
U+52DF	U+0078	synthetic.bulk	压测条目
U+52E0	U+0079	synthetic.bulk	压测条目
U+52E1	U+007A	synthetic.bulk	压测条目
U+52E2	U+0030	synthetic.bulk	压测条目
U+52E3	U+0031	synthetic.bulk	压测条目
U+52E4	U+0032	synthetic.bulk	压测条目
U+52E5	U+0033	synthetic.bulk	压测条目
U+52E6	U+0034	synthetic.bulk	压测条目
U+52E7	U+0035	synthetic.bulk	压测条目
U+52E8	U+0036	synthetic.bulk	压测条目
U+52E9	U+0037	synthetic.bulk	压测条目
U+52EA	U+0038	synthetic.bulk	压测条目
U+52EB	U+0039	synthetic.bulk	压测条目
U+52EC	U+0061	synthetic.bulk	压测条目
U+52ED	U+0062	synthetic.bulk	压测条目
U+52EE	U+0063	synthetic.bulk	压测条目
U+52EF	U+0064	synthetic.bulk	压测条目
U+52F0	U+0065	synthetic.bulk	压测条目
U+52F1	U+0066	synthetic.bulk	压测条目
U+52F2	U+0067	synthetic.bulk	压测条目
U+52F3	U+0068	synthetic.bulk	压测条目
U+52F4	U+0069	synthetic.bulk	压测条目
U+52F5	U+006A	synthetic.bulk	压测条目
U+52F6	U+006B	synthetic.bulk	压测条目
U+52F7	U+006C	synthetic.bulk	压测条目
U+52F8	U+006D	synthetic.bulk	压测条目
U+52F9	U+006E	synthetic.bulk	压测条目
U+52FA	U+006F	synthetic.bulk	压测条目
U+52FB	U+0070	synthetic.bulk	压测条目
U+52FC	U+0071	synthetic.bulk	压测条目
U+52FD	U+0072	synthetic.bulk	压测条目
U+52FE	U+0073	synthetic.bulk	压测条目
U+52FF	U+0074	synthetic.bulk	压测条目
U+5300	U+0075	synthetic.bulk	压测条目
U+5301	U+0076	synthetic.bulk	压测条目
U+5302	U+0077	synthetic.bulk	压测条目
U+5303	U+0078	synthetic.bulk	压测条目
U+5304	U+0079	synthetic.bulk	压测条目
U+5305	U+007A	synthetic.bulk	压测条目
U+5306	U+0030	synthetic.bulk	压测条目
U+5307	U+0031	synthetic.bulk	压测条目
U+5308	U+0032	synthetic.bulk	压测条目
U+5309	U+0033	synthetic.bulk	压测条目
U+530A	U+0034	synthetic.bulk	压测条目
U+530B	U+0035	synthetic.bulk	压测条目
U+530C	U+0036	synthetic.bulk	压测条目
U+530D	U+0037	synthetic.bulk	压测条目
U+530E	U+0038	synthetic.bulk	压测条目
U+530F	U+0039	synthetic.bulk	压测条目
U+5310	U+0061	synthetic.bulk	压测条目
U+5311	U+0062	synthetic.bulk	压测条目
U+5312	U+0063	synthetic.bulk	压测条目
U+5313	U+0064	synthetic.bulk	压测条目
U+5314	U+0065	synthetic.bulk	压测条目
U+5315	U+0066	synthetic.bulk	压测条目
U+5316	U+0067	synthetic.bulk	压测条目
U+5317	U+0068	synthetic.bulk	压测条目
U+5318	U+0069	synthetic.bulk	压测条目
U+5319	U+006A	synthetic.bulk	压测条目
U+531A	U+006B	synthetic.bulk	压测条目
U+531B	U+006C	synthetic.bulk	压测条目
U+531C	U+006D	synthetic.bulk	压测条目
U+531D	U+006E	synthetic.bulk	压测条目
U+531E	U+006F	synthetic.bulk	压测条目
U+531F	U+0070	synthetic.bulk	压测条目
U+5320	U+0071	synthetic.bulk	压测条目
U+5321	U+0072	synthetic.bulk	压测条目
U+5322	U+0073	synthetic.bulk	压测条目
U+5323	U+0074	synthetic.bulk	压测条目
U+5324	U+0075	synthetic.bulk	压测条目
U+5325	U+0076	synthetic.bulk	压测条目
U+5326	U+0077	synthetic.bulk	压测条目
U+5327	U+0078	synthetic.bulk	压测条目
U+5328	U+0079	synthetic.bulk	压测条目
U+5329	U+007A	synthetic.bulk	压测条目
U+532A	U+0030	synthetic.bulk	压测条目
U+532B	U+0031	synthetic.bulk	压测条目
U+532C	U+0032	synthetic.bulk	压测条目
U+532D	U+0033	synthetic.bulk	压测条目
U+532E	U+0034	synthetic.bulk	压测条目
U+532F	U+0035	synthetic.bulk	压测条目
U+5330	U+0036	synthetic.bulk	压测条目
U+5331	U+0037	synthetic.bulk	压测条目
U+5332	U+0038	synthetic.bulk	压测条目
U+5333	U+0039	synthetic.bulk	压测条目
U+5334	U+0061	synthetic.bulk	压测条目
U+5335	U+0062	synthetic.bulk	压测条目
U+5336	U+0063	synthetic.bulk	压测条目
U+5337	U+0064	synthetic.bulk	压测条目
U+5338	U+0065	synthetic.bulk	压测条目
U+5339	U+0066	synthetic.bulk	压测条目
U+533A	U+0067	synthetic.bulk	压测条目
U+533B	U+0068	synthetic.bulk	压测条目
U+533C	U+0069	synthetic.bulk	压测条目
U+533D	U+006A	synthetic.bulk	压测条目
U+533E	U+006B	synthetic.bulk	压测条目
U+533F	U+006C	synthetic.bulk	压测条目
U+5340	U+006D	synthetic.bulk	压测条目
U+5341	U+006E	synthetic.bulk	压测条目
U+5342	U+006F	synthetic.bulk	压测条目
U+5343	U+0070	synthetic.bulk	压测条目
U+5344	U+0071	synthetic.bulk	压测条目
U+5345	U+0072	synthetic.bulk	压测条目
U+5346	U+0073	synthetic.bulk	压测条目
U+5347	U+0074	synthetic.bulk	压测条目
U+5348	U+0075	synthetic.bulk	压测条目
U+5349	U+0076	synthetic.bulk	压测条目
U+534A	U+0077	synthetic.bulk	压测条目
U+534B	U+0078	synthetic.bulk	压测条目
U+534C	U+0079	synthetic.bulk	压测条目
U+534D	U+007A	synthetic.bulk	压测条目
U+534E	U+0030	synthetic.bulk	压测条目
U+534F	U+0031	synthetic.bulk	压测条目
U+5350	U+0032	synthetic.bulk	压测条目
U+5351	U+0033	synthetic.bulk	压测条目
U+5352	U+0034	synthetic.bulk	压测条目
U+5353	U+0035	synthetic.bulk	压测条目
U+5354	U+0036	synthetic.bulk	压测条目
U+5355	U+0037	synthetic.bulk	压测条目
U+5356	U+0038	synthetic.bulk	压测条目
U+5357	U+0039	synthetic.bulk	压测条目
U+5358	U+0061	synthetic.bulk	压测条目
U+5359	U+0062	synthetic.bulk	压测条目
U+535A	U+0063	synthetic.bulk	压测条目
U+535B	U+0064	synthetic.bulk	压测条目
U+535C	U+0065	synthetic.bulk	压测条目
U+535D	U+0066	synthetic.bulk	压测条目
U+535E	U+0067	synthetic.bulk	压测条目
U+535F	U+0068	synthetic.bulk	压测条目
U+5360	U+0069	synthetic.bulk	压测条目
U+5361	U+006A	synthetic.bulk	压测条目
U+5362	U+006B	synthetic.bulk	压测条目
U+5363	U+006C	synthetic.bulk	压测条目
U+5364	U+006D	synthetic.bulk	压测条目
U+5365	U+006E	synthetic.bulk	压测条目
U+5366	U+006F	synthetic.bulk	压测条目
U+5367	U+0070	synthetic.bulk	压测条目
U+5368	U+0071	synthetic.bulk	压测条目
U+5369	U+0072	synthetic.bulk	压测条目
U+536A	U+0073	synthetic.bulk	压测条目
U+536B	U+0074	synthetic.bulk	压测条目
U+536C	U+0075	synthetic.bulk	压测条目
U+536D	U+0076	synthetic.bulk	压测条目
U+536E	U+0077	synthetic.bulk	压测条目
U+536F	U+0078	synthetic.bulk	压测条目
U+5370	U+0079	synthetic.bulk	压测条目
U+5371	U+007A	synthetic.bulk	压测条目
U+5372	U+0030	synthetic.bulk	压测条目
U+5373	U+0031	synthetic.bulk	压测条目
U+5374	U+0032	synthetic.bulk	压测条目
U+5375	U+0033	synthetic.bulk	压测条目
U+5376	U+0034	synthetic.bulk	压测条目
U+5377	U+0035	synthetic.bulk	压测条目
U+5378	U+0036	synthetic.bulk	压测条目
U+5379	U+0037	synthetic.bulk	压测条目
U+537A	U+0038	synthetic.bulk	压测条目
U+537B	U+0039	synthetic.bulk	压测条目
U+537C	U+0061	synthetic.bulk	压测条目
U+537D	U+0062	synthetic.bulk	压测条目
U+537E	U+0063	synthetic.bulk	压测条目
U+537F	U+0064	synthetic.bulk	压测条目
U+5380	U+0065	synthetic.bulk	压测条目
U+5381	U+0066	synthetic.bulk	压测条目
U+5382	U+0067	synthetic.bulk	压测条目
U+5383	U+0068	synthetic.bulk	压测条目
U+5384	U+0069	synthetic.bulk	压测条目
U+5385	U+006A	synthetic.bulk	压测条目
U+5386	U+006B	synthetic.bulk	压测条目
U+5387	U+006C	synthetic.bulk	压测条目
U+5388	U+006D	synthetic.bulk	压测条目
U+5389	U+006E	synthetic.bulk	压测条目
U+538A	U+006F	synthetic.bulk	压测条目
U+538B	U+0070	synthetic.bulk	压测条目
U+538C	U+0071	synthetic.bulk	压测条目
U+538D	U+0072	synthetic.bulk	压测条目
U+538E	U+0073	synthetic.bulk	压测条目
U+538F	U+0074	synthetic.bulk	压测条目
U+5390	U+0075	synthetic.bulk	压测条目
U+5391	U+0076	synthetic.bulk	压测条目
U+5392	U+0077	synthetic.bulk	压测条目
U+5393	U+0078	synthetic.bulk	压测条目
U+5394	U+0079	synthetic.bulk	压测条目
U+5395	U+007A	synthetic.bulk	压测条目
U+5396	U+0030	synthetic.bulk	压测条目
U+5397	U+0031	synthetic.bulk	压测条目
U+5398	U+0032	synthetic.bulk	压测条目
U+5399	U+0033	synthetic.bulk	压测条目
U+539A	U+0034	synthetic.bulk	压测条目
U+539B	U+0035	synthetic.bulk	压测条目
U+539C	U+0036	synthetic.bulk	压测条目
U+539D	U+0037	synthetic.bulk	压测条目
U+539E	U+0038	synthetic.bulk	压测条目
U+539F	U+0039	synthetic.bulk	压测条目
U+53A0	U+0061	synthetic.bulk	压测条目
U+53A1	U+0062	synthetic.bulk	压测条目
U+53A2	U+0063	synthetic.bulk	压测条目
U+53A3	U+0064	synthetic.bulk	压测条目
U+53A4	U+0065	synthetic.bulk	压测条目
U+53A5	U+0066	synthetic.bulk	压测条目
U+53A6	U+0067	synthetic.bulk	压测条目
U+53A7	U+0068	synthetic.bulk	压测条目
U+53A8	U+0069	synthetic.bulk	压测条目
U+53A9	U+006A	synthetic.bulk	压测条目
U+53AA	U+006B	synthetic.bulk	压测条目
U+53AB	U+006C	synthetic.bulk	压测条目
U+53AC	U+006D	synthetic.bulk	压测条目
U+53AD	U+006E	synthetic.bulk	压测条目
U+53AE	U+006F	synthetic.bulk	压测条目
U+53AF	U+0070	synthetic.bulk	压测条目
U+53B0	U+0071	synthetic.bulk	压测条目
U+53B1	U+0072	synthetic.bulk	压测条目
U+53B2	U+0073	synthetic.bulk	压测条目
U+53B3	U+0074	synthetic.bulk	压测条目
U+53B4	U+0075	synthetic.bulk	压测条目
U+53B5	U+0076	synthetic.bulk	压测条目
U+53B6	U+0077	synthetic.bulk	压测条目
U+53B7	U+0078	synthetic.bulk	压测条目
U+53B8	U+0079	synthetic.bulk	压测条目
U+53B9	U+007A	synthetic.bulk	压测条目
U+53BA	U+0030	synthetic.bulk	压测条目
U+53BB	U+0031	synthetic.bulk	压测条目
U+53BC	U+0032	synthetic.bulk	压测条目
U+53BD	U+0033	synthetic.bulk	压测条目
U+53BE	U+0034	synthetic.bulk	压测条目
U+53BF	U+0035	synthetic.bulk	压测条目
U+53C0	U+0036	synthetic.bulk	压测条目
U+53C1	U+0037	synthetic.bulk	压测条目
U+53C2	U+0038	synthetic.bulk	压测条目
U+53C3	U+0039	synthetic.bulk	压测条目
U+53C4	U+0061	synthetic.bulk	压测条目
U+53C5	U+0062	synthetic.bulk	压测条目
U+53C6	U+0063	synthetic.bulk	压测条目
U+53C7	U+0064	synthetic.bulk	压测条目
U+53C8	U+0065	synthetic.bulk	压测条目
U+53C9	U+0066	synthetic.bulk	压测条目
U+53CA	U+0067	synthetic.bulk	压测条目
U+53CB	U+0068	synthetic.bulk	压测条目
U+53CC	U+0069	synthetic.bulk	压测条目
U+53CD	U+006A	synthetic.bulk	压测条目
U+53CE	U+006B	synthetic.bulk	压测条目
U+53CF	U+006C	synthetic.bulk	压测条目
U+53D0	U+006D	synthetic.bulk	压测条目
U+53D1	U+006E	synthetic.bulk	压测条目
U+53D2	U+006F	synthetic.bulk	压测条目
U+53D3	U+0070	synthetic.bulk	压测条目
U+53D4	U+0071	synthetic.bulk	压测条目
U+53D5	U+0072	synthetic.bulk	压测条目
U+53D6	U+0073	synthetic.bulk	压测条目
U+53D7	U+0074	synthetic.bulk	压测条目
U+53D8	U+0075	synthetic.bulk	压测条目
U+53D9	U+0076	synthetic.bulk	压测条目
U+53DA	U+0077	synthetic.bulk	压测条目
U+53DB	U+0078	synthetic.bulk	压测条目
U+53DC	U+0079	synthetic.bulk	压测条目
U+53DD	U+007A	synthetic.bulk	压测条目
U+53DE	U+0030	synthetic.bulk	压测条目
U+53DF	U+0031	synthetic.bulk	压测条目
U+53E0	U+0032	synthetic.bulk	压测条目
U+53E1	U+0033	synthetic.bulk	压测条目
U+53E2	U+0034	synthetic.bulk	压测条目
U+53E3	U+0035	synthetic.bulk	压测条目
U+53E4	U+0036	synthetic.bulk	压测条目
U+53E5	U+0037	synthetic.bulk	压测条目
U+53E6	U+0038	synthetic.bulk	压测条目
U+53E7	U+0039	synthetic.bulk	压测条目
U+53E8	U+0061	synthetic.bulk	压测条目
U+53E9	U+0062	synthetic.bulk	压测条目
U+53EA	U+0063	synthetic.bulk	压测条目
U+53EB	U+0064	synthetic.bulk	压测条目
U+53EC	U+0065	synthetic.bulk	压测条目
U+53ED	U+0066	synthetic.bulk	压测条目
U+53EE	U+0067	synthetic.bulk	压测条目
U+53EF	U+0068	synthetic.bulk	压测条目
U+53F0	U+0069	synthetic.bulk	压测条目
U+53F1	U+006A	synthetic.bulk	压测条目
U+53F2	U+006B	synthetic.bulk	压测条目
U+53F3	U+006C	synthetic.bulk	压测条目
U+53F4	U+006D	synthetic.bulk	压测条目
U+53F5	U+006E	synthetic.bulk	压测条目
U+53F6	U+006F	synthetic.bulk	压测条目
U+53F7	U+0070	synthetic.bulk	压测条目
U+53F8	U+0071	synthetic.bulk	压测条目
U+53F9	U+0072	synthetic.bulk	压测条目
U+53FA	U+0073	synthetic.bulk	压测条目
U+53FB	U+0074	synthetic.bulk	压测条目
U+53FC	U+0075	synthetic.bulk	压测条目
U+53FD	U+0076	synthetic.bulk	压测条目
U+53FE	U+0077	synthetic.bulk	压测条目
U+53FF	U+0078	synthetic.bulk	压测条目
U+5400	U+0079	synthetic.bulk	压测条目
U+5401	U+007A	synthetic.bulk	压测条目
U+5402	U+0030	synthetic.bulk	压测条目
U+5403	U+0031	synthetic.bulk	压测条目
U+5404	U+0032	synthetic.bulk	压测条目
U+5405	U+0033	synthetic.bulk	压测条目
U+5406	U+0034	synthetic.bulk	压测条目
U+5407	U+0035	synthetic.bulk	压测条目
U+5408	U+0036	synthetic.bulk	压测条目
U+5409	U+0037	synthetic.bulk	压测条目
U+540A	U+0038	synthetic.bulk	压测条目
U+540B	U+0039	synthetic.bulk	压测条目
U+540C	U+0061	synthetic.bulk	压测条目
U+540D	U+0062	synthetic.bulk	压测条目
U+540E	U+0063	synthetic.bulk	压测条目
U+540F	U+0064	synthetic.bulk	压测条目
U+5410	U+0065	synthetic.bulk	压测条目
U+5411	U+0066	synthetic.bulk	压测条目
U+5412	U+0067	synthetic.bulk	压测条目
U+5413	U+0068	synthetic.bulk	压测条目
U+5414	U+0069	synthetic.bulk	压测条目
U+5415	U+006A	synthetic.bulk	压测条目
U+5416	U+006B	synthetic.bulk	压测条目
U+5417	U+006C	synthetic.bulk	压测条目
U+5418	U+006D	synthetic.bulk	压测条目
U+5419	U+006E	synthetic.bulk	压测条目
U+541A	U+006F	synthetic.bulk	压测条目
U+541B	U+0070	synthetic.bulk	压测条目
U+541C	U+0071	synthetic.bulk	压测条目
U+541D	U+0072	synthetic.bulk	压测条目
U+541E	U+0073	synthetic.bulk	压测条目
U+541F	U+0074	synthetic.bulk	压测条目
U+5420	U+0075	synthetic.bulk	压测条目
U+5421	U+0076	synthetic.bulk	压测条目
U+5422	U+0077	synthetic.bulk	压测条目
U+5423	U+0078	synthetic.bulk	压测条目
U+5424	U+0079	synthetic.bulk	压测条目
U+5425	U+007A	synthetic.bulk	压测条目
U+5426	U+0030	synthetic.bulk	压测条目
U+5427	U+0031	synthetic.bulk	压测条目
U+5428	U+0032	synthetic.bulk	压测条目
U+5429	U+0033	synthetic.bulk	压测条目
U+542A	U+0034	synthetic.bulk	压测条目
U+542B	U+0035	synthetic.bulk	压测条目
U+542C	U+0036	synthetic.bulk	压测条目
U+542D	U+0037	synthetic.bulk	压测条目
U+542E	U+0038	synthetic.bulk	压测条目
U+542F	U+0039	synthetic.bulk	压测条目
U+5430	U+0061	synthetic.bulk	压测条目
U+5431	U+0062	synthetic.bulk	压测条目
U+5432	U+0063	synthetic.bulk	压测条目
U+5433	U+0064	synthetic.bulk	压测条目
U+5434	U+0065	synthetic.bulk	压测条目
U+5435	U+0066	synthetic.bulk	压测条目
U+5436	U+0067	synthetic.bulk	压测条目
U+5437	U+0068	synthetic.bulk	压测条目
U+5438	U+0069	synthetic.bulk	压测条目
U+5439	U+006A	synthetic.bulk	压测条目
U+543A	U+006B	synthetic.bulk	压测条目
U+543B	U+006C	synthetic.bulk	压测条目
U+543C	U+006D	synthetic.bulk	压测条目
U+543D	U+006E	synthetic.bulk	压测条目
U+543E	U+006F	synthetic.bulk	压测条目
U+543F	U+0070	synthetic.bulk	压测条目
U+5440	U+0071	synthetic.bulk	压测条目
U+5441	U+0072	synthetic.bulk	压测条目
U+5442	U+0073	synthetic.bulk	压测条目
U+5443	U+0074	synthetic.bulk	压测条目
U+5444	U+0075	synthetic.bulk	压测条目
U+5445	U+0076	synthetic.bulk	压测条目
U+5446	U+0077	synthetic.bulk	压测条目
U+5447	U+0078	synthetic.bulk	压测条目
U+5448	U+0079	synthetic.bulk	压测条目
U+5449	U+007A	synthetic.bulk	压测条目
U+544A	U+0030	synthetic.bulk	压测条目
U+544B	U+0031	synthetic.bulk	压测条目
U+544C	U+0032	synthetic.bulk	压测条目
U+544D	U+0033	synthetic.bulk	压测条目
U+544E	U+0034	synthetic.bulk	压测条目
U+544F	U+0035	synthetic.bulk	压测条目
U+5450	U+0036	synthetic.bulk	压测条目
U+5451	U+0037	synthetic.bulk	压测条目
U+5452	U+0038	synthetic.bulk	压测条目
U+5453	U+0039	synthetic.bulk	压测条目
U+5454	U+0061	synthetic.bulk	压测条目
U+5455	U+0062	synthetic.bulk	压测条目
U+5456	U+0063	synthetic.bulk	压测条目
U+5457	U+0064	synthetic.bulk	压测条目
U+5458	U+0065	synthetic.bulk	压测条目
U+5459	U+0066	synthetic.bulk	压测条目
U+545A	U+0067	synthetic.bulk	压测条目
U+545B	U+0068	synthetic.bulk	压测条目
U+545C	U+0069	synthetic.bulk	压测条目
U+545D	U+006A	synthetic.bulk	压测条目
U+545E	U+006B	synthetic.bulk	压测条目
U+545F	U+006C	synthetic.bulk	压测条目
U+5460	U+006D	synthetic.bulk	压测条目
